time,irms_current,vrms_voltage
2025-05-01 7:51:44,9.11,0.1063
2025-05-01 8:40:04,9.12,0.1064
2025-05-01 8:54:12,9.06,0.1057
2025-05-01 8:40:25,9.09,0.106
2025-05-01 8:48:55,9.05,0.1056
2025-05-01 8:53:08,9.05,0.1056
2025-05-01 8:51:23,9.07,0.1058
2025-05-01 8:41:08,9.07,0.1058
2025-05-01 8:48:33,9.09,0.106
2025-05-01 8:53:30,9.05,0.1056
2025-05-01 8:52:05,9.05,0.1056
2025-05-01 8:43:37,9.07,0.1059
2025-05-01 7:51:23,9.03,0.1054
2025-05-01 8:39:44,9.08,0.1059
2025-05-01 8:53:51,9.06,0.1057
2025-05-01 8:55:17,9.06,0.1057
2025-05-01 8:50:20,9.08,0.106
2025-05-01 8:44:41,9.07,0.1059
2025-05-01 8:44:19,9.08,0.106
2025-05-01 8:49:16,9.06,0.1057
2025-05-01 8:49:37,9.08,0.1059
2025-05-01 8:49:58,9.06,0.1057
2025-05-01 8:52:26,9.06,0.1057
2025-04-30 0:04:55,0,0
2025-05-01 7:41:58,0,0
2025-05-01 7:49:35,0,0
2025-05-01 8:15:27,9.05,0.1056
2025-05-01 8:20:16,9.01,0.1051
2025-05-01 8:37:59,9.07,0.1059
2025-05-01 8:54:55,9.04,0.1055
2025-05-01 8:50:40,9.07,0.1058
2025-04-30 0:04:34,0,0
2025-04-30 0:08:20,0,0
2025-05-01 7:41:37,0,0
2025-05-01 7:49:13,0,0
2025-05-01 8:15:06,9.07,0.1058
2025-05-01 8:19:55,9.01,0.1051
2025-05-01 8:37:39,9.07,0.1058
2025-05-01 8:55:38,9.04,0.1055
2025-05-01 8:52:47,9.06,0.1058
2025-05-01 7:43:25,0,0
2025-05-01 7:51:01,8.53,0.0995
2025-05-01 8:39:23,9.05,0.1056
2025-05-01 8:45:22,9.07,0.1058
2025-05-01 8:47:51,9.09,0.1061
2025-05-01 8:46:05,9.08,0.106
2025-05-01 8:45:44,9.06,0.1057
2025-05-01 8:48:13,9.09,0.106
2025-05-01 8:42:54,9.08,0.1059
2025-05-01 8:47:30,9.09,0.106
2025-05-01 8:41:29,9.06,0.1058
2025-05-01 8:54:34,9.04,0.1055
2025-05-01 7:42:41,0,0
2025-05-01 7:50:18,1.35,0.0158
2025-05-01 8:20:58,0,0
2025-05-01 8:38:41,9.06,0.1058
2025-05-01 8:51:01,9.07,0.1058
2025-04-30 0:05:16,0,0
2025-05-01 7:42:20,0,0
2025-05-01 7:49:56,0,0
2025-05-01 8:15:48,9.05,0.1056
2025-05-01 8:20:38,9.02,0.1052
2025-05-01 8:38:20,9.06,0.1057
2025-05-01 8:45:01,9.07,0.1059
2025-05-01 8:51:43,9.06,0.1057
2025-05-01 8:42:32,9.08,0.1059
2025-05-01 8:43:58,9.08,0.1059
2025-05-01 8:46:26,9.08,0.1059
2025-05-01 8:41:50,9.07,0.1059
2025-05-01 8:40:47,9.07,0.1059
2025-05-01 8:56:21,9.06,0.1057
2025-05-01 8:56:00,9.05,0.1055
2025-05-01 8:47:09,9.06,0.1057
2025-05-01 7:43:03,0,0
2025-05-01 7:50:40,6.48,0.0756
2025-05-01 8:39:02,9.07,0.1058
2025-05-01 8:46:47,9.08,0.1059
2025-05-01 8:42:11,9.08,0.1059
2025-05-01 8:43:16,9.07,0.1058
